단어,up,down,total,prob_up,prob_down,polarity_score
불러일으킬/VV,25,13,37,7.399597817059448e-06,5.323402866529596e-06,1.390012742335121
번지/VV,43,23,65,1.2727308245342247e-05,9.41832814847544e-06,1.351334126896231
통지서/NNG,22,3,24,6.511646079012314e-06,1.2284775845837528e-06,5.300581924104595
수익구조/NNG,75,35,109,2.2198793451178343e-05,1.433223848681045e-05,1.5488713414591349
바로잡/VV,24,10,33,7.103613904377069e-06,4.094925281945843e-06,1.7347359024342308
차종/NNG,61,15,75,1.805501867362505e-05,6.142387922918765e-06,2.939413612458002
작가/NNG,50,21,70,1.4799195634118895e-05,8.59934309208627e-06,1.7209681571768167
팔린/VV,19,8,26,5.62369434096518e-06,3.2759402255566742e-06,1.7166657367838745
단타/NNG,19,5,23,5.62369434096518e-06,2.0474626409729214e-06,2.746665178854199
의학/NNG,80,8,87,2.367871301459023e-05,3.2759402255566742e-06,7.228066260142628
첫날/NNG,138,56,193,4.084577995016815e-05,2.293158157889672e-05,1.781202042678005
학원/NNG,64,20,83,1.8942970411672184e-05,8.189850563891686e-06,2.3129812032456414
금리/NNG;인상/NNG;기대/NNG;약화/NNG,19,7,25,5.62369434096518e-06,2.86644769736209e-06,1.9619036991815708
이렇게/MAG,271,149,419,8.02116403369244e-05,6.101438670099306e-05,1.3146348701333237
기민/NNG,28,9,36,8.287549555106581e-06,3.6854327537512585e-06,2.248731725377707
따랐/VV,20,11,30,5.9196782536475576e-06,4.504417810140428e-06,1.314193865480478
척도/NNG,27,10,36,7.991565642424203e-06,4.094925281945843e-06,1.95157789023851
좁히/VV,119,59,177,3.522208560920297e-05,2.416005916348048e-05,1.4578642117914795
크로스/NNG,39,5,43,1.1543372594612738e-05,2.0474626409729214e-06,5.637891682911251
준공후미분양/NNG,45,12,56,1.3319276070707004e-05,4.913910338335011e-06,2.7105248475534856
재할인율/NNG,15,8,22,4.439758690235668e-06,3.2759402255566742e-06,1.355262423776743
속출/NNG,68,29,96,2.012690606240169e-05,1.1875283317642944e-05,1.694856916171375
견고/NNG;성장/NNG,25,10,34,7.399597817059448e-06,4.094925281945843e-06,1.807016565035657
강제경매/NNG,17,6,22,5.031726515600424e-06,2.4569551691675057e-06,2.047952107040411
도시형생활주택/NNG,53,8,60,1.568714737216603e-05,3.2759402255566742e-06,4.788593897344492
판매사/NNG,105,48,152,3.107831083164968e-05,1.9655641353340045e-05,1.5811394944062005
제품믹스/NNG,12,6,17,3.5518069521885345e-06,2.4569551691675057e-06,1.445613252028526
뉴타운/NNG,44,12,55,1.3023292158024628e-05,4.913910338335011e-06,2.6502909620522974
늦/VA;금리/NNG;인하/NNG,23,2,24,6.8076299916946914e-06,8.189850563891686e-07,8.312276199164023
피알/NNG,19,5,23,5.62369434096518e-06,2.0474626409729214e-06,2.746665178854199
성사/NNG,107,42,148,3.1670278657014435e-05,1.719868618417254e-05,1.8414359281791937
온다/VV,35,15,49,1.0359436943883226e-05,6.142387922918765e-06,1.68654879403328
전망/NNG;밑돌/VV,54,19,72,1.5983131284848406e-05,7.780358035697102e-06,2.0542925160405368
쿼터/NNG,23,12,34,6.8076299916946914e-06,4.913910338335011e-06,1.3853793665273373
리얼티/NNG,69,16,84,2.0422889975084075e-05,6.5518804511133485e-06,3.117103574686509
비명/NNG,25,6,30,7.399597817059448e-06,2.4569551691675057e-06,3.011694275059429
부자/NNG,142,61,202,4.202971560089766e-05,2.497904421986964e-05,1.6825990310495955
예비/NNG,283,106,388,8.376344728911294e-05,4.340620798862593e-05,1.9297573128494
출격/NNG,30,9,38,8.879517380471337e-06,3.6854327537512585e-06,2.409355420047543
봐서/VV,40,13,52,1.1839356507295117e-05,5.323402866529596e-06,2.2240203877361933
상호금융/NNG,132,38,169,3.906987647407388e-05,1.5560716071394204e-05,2.510801964049545
입력/NNG,68,28,95,2.012690606240169e-05,1.146579078944836e-05,1.7553875203203526
두드리/VV,20,9,28,5.9196782536475576e-06,3.6854327537512585e-06,1.606236946698362
총파업/NNG,34,6,39,1.0063453031200847e-05,2.4569551691675057e-06,4.095904214080822
국채/NNG;부담/NNG,16,2,17,4.735742602918046e-06,8.189850563891686e-07,5.782453008114104
정책위/NNG,68,30,97,2.012690606240169e-05,1.228477584583753e-05,1.638361685632329
협의회/NNG,176,60,235,5.209316863209851e-05,2.456955169167506e-05,2.120232769641838
환불/NNG,15,7,21,4.439758690235668e-06,2.86644769736209e-06,1.5488713414591349
외환당국/NNG,449,112,560,0.0001328967767943,4.586316315779344e-05,2.897680134646465
나라/NNG,535,267,801,0.000158351393285,0.0001093345050279,1.4483203929499275
수입기업/NNG,38,4,41,1.124738868193036e-05,1.6379701127783371e-06,6.866662947135498
시민/NNG,248,109,356,7.340401034522972e-05,4.4634685573209686e-05,1.64455085551869
기습/NNG,28,11,38,8.287549555106581e-06,4.504417810140428e-06,1.839871411672669
가깝/VV,22,12,33,6.511646079012314e-06,4.913910338335011e-06,1.3251454810261487
어업/NNG,72,29,100,2.131084171313121e-05,1.1875283317642944e-05,1.7945543818285148
물산/NNG,56,24,79,1.6575099110213163e-05,9.827820676670024e-06,1.6865487940332802
위로/NNG,20,8,27,5.9196782536475576e-06,3.2759402255566742e-06,1.807016565035657
벌어들인/VV,37,15,51,1.095140476924798e-05,6.142387922918765e-06,1.7829230108351817
개장전/NNG,186,52,237,5.5053007758922285e-05,2.1293611466118384e-05,2.5854237007433247
불발/NNG,73,35,107,2.1606825625813582e-05,1.433223848681045e-05,1.5075681056868913
출렁였/VV,19,9,27,5.62369434096518e-06,3.6854327537512585e-06,1.525925099363444
리비/NNG,83,30,112,2.4566664752637364e-05,1.228477584583753e-05,1.9997649986394608
자산재평가/NNG,25,11,35,7.399597817059448e-06,4.504417810140428e-06,1.6427423318505974
심사/NNG,369,179,547,0.0001092180637797,7.329916254683059e-05,1.490031536308732
추진력/NNG,45,15,59,1.3319276070707004e-05,6.142387922918765e-06,2.1684198780427884
이겨낼/VV,15,5,19,4.439758690235668e-06,2.0474626409729214e-06,2.168419878042789
한중일/NNG,22,6,27,6.511646079012314e-06,2.4569551691675057e-06,2.6502909620522974
fed/NNG;매파/NNG;긴축/NNG,37,2,38,1.095140476924798e-05,8.189850563891686e-07,13.371922581263863
경제/NNG;좋/VA,26,13,38,7.695581729741824e-06,5.323402866529596e-06,1.4456132520285256
조달액/NNG,50,23,72,1.4799195634118895e-05,9.41832814847544e-06,1.5713187522049197
가속기/NNG,13,6,18,3.847790864870912e-06,2.4569551691675057e-06,1.5660810230309028
파격/NNG,34,18,51,1.0063453031200847e-05,7.370865507502517e-06,1.3653014046936076
gdp/NNG;증가/NNG,24,13,36,7.103613904377069e-06,5.323402866529596e-06,1.334412232641716
시설관리/NNG,22,5,26,6.511646079012314e-06,2.0474626409729214e-06,3.180349154462757
심각/NNG;우려/NNG,41,11,51,1.2135340419977494e-05,4.504417810140428e-06,2.69409742423498
운용액/NNG,19,1,19,5.62369434096518e-06,4.094925281945843e-07,13.733325894270996
위험/NNG;줄/VV,41,21,61,1.2135340419977494e-05,8.59934309208627e-06,1.4111938888849895
형량/NNG,15,3,17,4.439758690235668e-06,1.2284775845837528e-06,3.614033130071314
대출/NNG;금리/NNG;최대/NNG,34,17,50,1.0063453031200847e-05,6.961372979307933e-06,1.4456132520285256
기대/NNG;충족/NNG,43,22,64,1.2727308245342247e-05,9.008835620280857e-06,1.4127584053915136
비행/NNG,40,13,52,1.1839356507295117e-05,5.323402866529596e-06,2.2240203877361933
고용/NNG;지표/NNG;fed/NNG;금리/NNG;인하/NNG,16,2,17,4.735742602918046e-06,8.189850563891686e-07,5.782453008114104
부동산/NNG;부양/NNG,22,5,26,6.511646079012314e-06,2.0474626409729214e-06,3.180349154462757
조세특례제한법/NNG,18,8,25,5.327710428282802e-06,3.2759402255566742e-06,1.6263149085320916
보험약관/NNG,25,5,29,7.399597817059448e-06,2.0474626409729214e-06,3.614033130071314
인과/NNG,18,8,25,5.327710428282802e-06,3.2759402255566742e-06,1.6263149085320916
임상시험/NNG,30,4,33,8.879517380471337e-06,1.6379701127783371e-06,5.421049695106972
이표/NNG,214,87,300,6.334055731402887e-05,3.562584995292883e-05,1.7779381375523249
죽이/VV,25,13,37,7.399597817059448e-06,5.323402866529596e-06,1.390012742335121
신음/NNG,30,1,30,8.879517380471337e-06,4.094925281945843e-07,21.684198780427888
다져/VV,16,5,20,4.735742602918046e-06,2.0474626409729214e-06,2.3129812032456414
서학/NNG,155,69,223,4.587750646576857e-05,2.8254984445426315e-05,1.6236960439450832
아버지/NNG,38,10,47,1.124738868193036e-05,4.094925281945843e-06,2.746665178854199
사설/NNG,138,50,187,4.084577995016815e-05,2.0474626409729213e-05,1.9949462877993656
개인자금/NNG,33,15,47,9.76746911851847e-06,6.142387922918765e-06,1.5901745772313782
누리/VV,489,209,697,0.0001447361333016,8.558393839266812e-05,1.6911600005788254
과세지방채/NNG,19,1,19,5.62369434096518e-06,4.094925281945843e-07,13.733325894270996
가담/NNG,19,6,24,5.62369434096518e-06,2.4569551691675057e-06,2.288887649045166
z세대/NNG,60,7,66,1.7759034760942674e-05,2.86644769736209e-06,6.195485365836539
상향/NNG;금리/NNG;인하/NNG,14,5,18,4.143774777553291e-06,2.0474626409729214e-06,2.023858552839936
박람회/NNG,20,4,23,5.9196782536475576e-06,1.6379701127783371e-06,3.614033130071314
전망/NNG;위험/NNG,30,11,40,8.879517380471337e-06,4.504417810140428e-06,1.9712907982207168
발행가액/NNG,19,10,28,5.62369434096518e-06,4.094925281945843e-06,1.3733325894270996
매출/NNG;늘/VV,45,12,56,1.3319276070707004e-05,4.913910338335011e-06,2.7105248475534856
지원자/NNG,28,4,31,8.287549555106581e-06,1.6379701127783371e-06,5.0596463820998405
확전/NNG,241,58,298,7.133212295645307e-05,2.375056663528589e-05,3.0033861529213333
정크/NNG,16,3,18,4.735742602918046e-06,1.2284775845837528e-06,3.854968672076069
대어/NNG,52,15,66,1.539116345948365e-05,6.142387922918765e-06,2.5057296368494444
드라이브/NNG,50,24,73,1.4799195634118895e-05,9.827820676670024e-06,1.5058471375297144
약서/NNG,15,3,17,4.439758690235668e-06,1.2284775845837528e-06,3.614033130071314
계란/NNG,21,7,27,6.215662166329935e-06,2.86644769736209e-06,2.1684198780427884
소녀/NNG,13,7,19,3.847790864870912e-06,2.86644769736209e-06,1.3423551625979169
끝낸/VV,16,6,21,4.735742602918046e-06,2.4569551691675057e-06,1.9274843360380345
기승/NNG,46,11,56,1.3615259983389385e-05,4.504417810140428e-06,3.0226458906051
원화/NNG;떨어/VV,16,3,18,4.735742602918046e-06,1.2284775845837528e-06,3.854968672076069
문화/NNG,412,159,570,0.0001219453720251,6.51093119829389e-05,1.87293289256526
후보군/NNG,27,14,40,7.991565642424203e-06,5.73289539472418e-06,1.3939842073132214
