단어,up,down,total,prob_up,prob_down,polarity_score
수습/NNG,18,21,38,5.327710428282802e-06,8.59934309208627e-06,0.6195485365836539
유럽의회/NNG,21,21,41,6.215662166329935e-06,8.59934309208627e-06,0.7228066260142629
성장/NNG;전환/NNG,9,19,27,2.663855214141401e-06,7.780358035697102e-06,0.3423820860067561
경제/NNG;타격/NNG,10,11,20,2.9598391268237788e-06,4.504417810140428e-06,0.657096932740239
바이/MAG,57,58,114,1.687108302289554e-05,2.375056663528589e-05,0.7103444428071204
기도/NNG,23,23,45,6.8076299916946914e-06,9.41832814847544e-06,0.7228066260142628
금리/NNG;오르/VV;내리/VV,9,12,20,2.663855214141401e-06,4.913910338335011e-06,0.5421049695106972
융통성/NNG,27,26,52,7.991565642424203e-06,1.0646805733059192e-05,0.7506068808609653
로컬/NNG,58,79,136,1.7167066935577917e-05,3.234990972737216e-05,0.5306681558079398
주택가격/NNG;안정/NNG,11,12,22,3.255823039506157e-06,4.913910338335011e-06,0.6625727405130744
매개/NNG,11,22,32,3.255823039506157e-06,9.008835620280857e-06,0.3614033130071314
집주인/NNG,33,40,72,9.76746911851847e-06,1.637970112778337e-05,0.5963154664617669
로티/NNG,33,44,76,9.76746911851847e-06,1.801767124056171e-05,0.5421049695106972
지역기업/NNG,14,20,33,4.143774777553291e-06,8.189850563891686e-06,0.505964638209984
irs/NNG,2090,2518,4607,0.0006186063775061,0.0010311021859939,0.5999467229427362
복원력/NNG,32,46,77,9.471485205836092e-06,1.883665629695088e-05,0.5028220007055741
종속회사/NNG,15,18,32,4.439758690235668e-06,7.370865507502517e-06,0.6023388550118858
타이틀/NNG,13,13,25,3.847790864870912e-06,5.323402866529596e-06,0.7228066260142628
세이렌/NNG,1,24,24,2.959839126823779e-07,9.827820676670024e-06,0.0301169427505942
성장국면/NNG,23,30,52,6.8076299916946914e-06,1.228477584583753e-05,0.5541517466109348
확장국면/NNG,130,128,257,3.847790864870912e-05,5.241504360890679e-05,0.7341004795457357
금융중개기능/NNG,14,48,61,4.143774777553291e-06,1.9655641353340045e-05,0.21081859925416
국고채/NNG;오르/VV,18,30,47,5.327710428282802e-06,1.228477584583753e-05,0.4336839756085577
모델포트폴리오/NNG,18,94,111,5.327710428282802e-06,3.849229765029093e-05,0.1384097794495397
등급별/NNG,457,472,928,0.0001352646480958,0.0001932804733078,0.6998360764587249
마이너스/NNG;전환/NNG,30,36,65,8.879517380471337e-06,1.4741731015005034e-05,0.6023388550118858
상대국/NNG,67,78,144,1.983092214971932e-05,3.194041719917758e-05,0.6208723582430206
비금융사/NNG,8,10,17,2.367871301459023e-06,4.094925281945843e-06,0.5782453008114103
타내/VV,25,28,52,7.399597817059448e-06,1.146579078944836e-05,0.6453630589413062
광공업/NNG;생산/NNG;부진/NNG,2,18,19,5.919678253647558e-07,7.370865507502517e-06,0.0803118473349181
실링/NNG,17,23,39,5.031726515600424e-06,9.41832814847544e-06,0.5342483757496725
유보/NNG,78,78,155,2.308674518922548e-05,3.194041719917758e-05,0.7228066260142628
